定式ID,匹配步数,落子前缀
kj_37393,16,pd qc pc qd qe re rf qf pe rg rd sf rc pf ng nf
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_46666,13,pd qc pc qd pe rf tt ld qf rg lc kc mc
kj_69353,7,pd nc qf ne oc nb ng
kj_10373,16,pd qc pc qd qe re rf qf pe rg rd sf rc pf tt kd
kj_88231,16,pd qc pc qd qe re rf qf pe rg rd sf rc tt og pi
kj_13615,15,pd nc qf pc qc qb rb ob qa od pb pe qd tt lc
kj_17203,8,pc qe qd pe nc tt ph mf
kj_48996,13,pd qc pc qd pe qe qf rf pg rg tt of pf
kj_95432,6,pc qe qd pe nc me
kj_81164,6,pd nc jc pg oe pb
kj_61539,23,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf ld nd
kj_29739,15,pc tt pf tt lc qd pd re qe qf pe rg rd qh tt
kj_23950,15,pc pe qe qf qd pf nc pj ql pl pk qk ok rl qm
kj_39182,9,pd tt nc qf qe pf nf pi tt
kj_26683,20,pd qc pc qd qf rf rg qe pf pe oe of ne pb ob qb mf qh re og
kj_94037,11,pd nc lc jc tt ne pg tt jd id kd
kj_82722,10,pc qe nd pi tt lc tt qc qb rc
kj_94432,7,pc tt pf tt kc tt pi
kj_81155,6,pd qc pc qd pe rf
kj_06845,21,pd qc pc qd qf qe pe rf tt pf qg rg of pg qh ph qi pi qj pj qm
kj_36916,12,pd qc pc qd pe rf qg qf pf pb ob qb
kj_93287,9,pd qc pc qd pe qe qf rf lc
kj_63405,6,pc tt pe pf qe pj
kj_60061,11,pd nc qf pc qc qb rb pb qd kd tt
kj_38787,9,pc qe od qh tt ql pf qf pg
kj_60107,9,pc tt pe oc od nc pb nd ph
kj_70299,6,pc tt pf qh ph pi
kj_77700,18,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc rb
kj_52795,9,pd nc lc tt qc ne pg og oh
kj_99123,11,pd qc pc qd pe rf tt nc qf rg lc
kj_56655,9,pc qe qi od oc nd mb tt qg
kj_27813,6,pc qe tt md od pg
kj_53327,14,pd nc tt qf pf pg of qe qd kc oc nd pe tt
kj_38640,7,pc qe ph tt qd pe nd
kj_61012,13,pd nc jc qf pf pg of qc qe pc qg qj mc
kj_80679,11,pd qc pc qd pe rf tt md qf rg ph
kj_02258,10,pd qc pc qd pe rf qf rg kc qb
kj_63905,22,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf ld
kj_82714,16,pd qc pc qd pe rf tt qg pg ph qf rh oh pi tt ld
kj_50464,8,pd nc qf pc qc qb qd ob
kj_51878,11,pd qc pc qd pe rf tt qg tt og nf
kj_82018,7,pc qe tt od oc nd mc
kj_90551,6,pd tt mc qf re tt
kj_66242,14,pc tt qf pd qd oc pe od pb qc ob mc rc jc
kj_25273,9,pc qe nd tt qi tt qd me ne
kj_31633,7,pd tt nc md nd mf kd
kj_05474,6,pc tt pf qh qj pl
kj_85096,13,pc qe tt od oc nd mc tt md tt mf tt pg
kj_47244,8,pc qe qd pe nc tt qh me
kj_30861,8,pd nc qf ne pb pg pf ng
kj_94654,13,pd nc qf pc qc qb oc pb od ob tt nd tt
kj_43406,12,pd qc pc qd qf rf qg rg qh qe pe mc
kj_35243,10,pc qe od qh pf qf tt lc ld md
kj_02084,10,pd qc pc qd pe qe pf rg tt nc
kj_96483,12,pd qc pc qd qf qe pe rf tt qg pf qb
kj_89946,7,pc tt pf qh tt lc tt
kj_32595,7,pd nc tt jc qf tt jd
kj_39175,22,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc jd rb sb qa tt
kj_57930,12,pd qc pc qd pe qe qg qf pf rg qh rh
kj_44956,8,pd nc kd pf of oe pe ne
kj_79256,7,pc tt pf qh qj tt ph
kj_35296,15,pc qe nd pi qg pg ph qh oh rg qi qf rh qg tt
kj_34759,12,pc tt pf qh qj pd qd qe pe od qc re
kj_53439,7,pd tt nc md tt qg qe
kj_38514,10,pc qe od tt qh pf rd ne md pi
kj_89830,9,pc pe qe qf qd pf qj mc nb
kj_77114,8,pd tt nc re rd qe qd qh
kj_35272,15,pc tt qf pd od qc qd pe qe oc pb nd oe pf qg
kj_56876,8,pd qc pc qd pe qe qf rf
kj_25357,7,pd tt nc md jd nd oc
kj_76279,15,pd nc tt qc pc qd pe pb ob qb nb qf mc tt kd
kj_52563,9,pd qc pc qd pe rf tt kd qb
kj_34191,7,pd nc qf tt oc nd og
kj_23916,7,pc tt pe tt kd tt ke
kj_99455,16,pc qe qh od pd pe oe nd of rc nb mc rb rd pg mb
kj_62777,8,pd qc pc qd pe rf tt rj
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_78310,6,pd tt nc re rd nb
kj_40199,6,pd nc oc nd qf kd
kj_30662,6,pc qe nd pi og qh
kj_67684,25,pc tt qf pd od qc qd pe qe oc pb nd oe pf nc qg rg of ob rh qh pg rf qi tt
kj_15616,9,pd qc pc qd pe rf tt nb ob
kj_55733,6,pd tt nc md tt qf
kj_03217,10,pd tt nc re qf qe pe rf qg qc
kj_69904,9,pd nc pf tt oc tt nd rf tt
kj_67567,7,pc qe od tt qh tt kd
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_67685,24,pc tt qf pd od qc qd pe qe oc pb nd oe pf nc qg rg of ob rh qh pg rf qi
kj_27269,20,pd qc pc qd qf qe pe rf rg qg pf rh qb sg rc rd sd re tt ld
kj_25972,10,pd qc pc qd pe rf tt ld oh tt
kj_14753,7,pc tt qf qh qj pj pk
kj_82277,15,pc qe ph od pd pe oe oc ob nb pb of ne md rd
kj_73733,10,pd qc pc qd pe rf tt qg le tt
kj_43569,9,pd tt nc re qd qh tt qf tt
kj_69415,15,pd qc pc qd pe qe qg tt qf pb ob qb tt nc oc
kj_89401,14,pd qc pc qd qf qe pe rf qg rg qh mc tt of
kj_98971,7,pd nc tt qf tt oe qh
kj_22646,20,pc qe od tt qh tt pf qc qb rb qd rc ob pe re oe pd qf rf ne
kj_05974,16,pc qe tt od oc nd mc tt qi tt qg tt of md lc ld
kj_56084,9,pc qe tt od oc nd mb tt pg
kj_86702,13,pd qc pc qd pe qf qb pf qj nf qe re rb
kj_11519,13,pd qc pc qd qf qe pe rf qg rg qh ke kf
kj_58566,12,pd qc pc qd pe rf qg qf pf qh pg rg
kj_20145,10,pd tt nc re rd qe qd qi tt mc
kj_13462,16,pd nc qf pc qc qb oc pb od ob rc nd mb nb tt kd
kj_75313,15,pd qc pc qd pe rf tt qg pg ph qf rh oh pi qb
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_61540,6,pd nc qf tt kc id
kj_67437,25,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me mf mc qb re le md kc qg nf
kj_97417,11,pd qc pc qd pe rf tt ld tt lf qf
kj_44568,17,pd qc pc qd pe rf tt qg tt kc pg ph qf rh oh pi tt
kj_29036,10,pd tt mc qf tt qc qd pc od nb
kj_74865,6,pc qe nd pi tt qh
kj_17639,9,pd tt nc re qf rf qd qe qh
kj_49788,7,pc qe nd tt qh tt pj
kj_61470,16,pc tt pe pf of qe oe qd pg pd od qc qf oc nc pb
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_53826,11,pc qe tt od oc nd mc tt qg pg ph
kj_10676,15,pd qc pc qd qe re rf pb ob oc pe nb qb oa rc
kj_74374,14,pc pe qe qf qd pf nc pj tt qm rh pd qc qh
kj_12103,10,pd qc pc qd pe qe pf rg tt me
kj_71760,9,pd qc pc qd qf rf qg rg qh
kj_71368,7,pc qe od qh pf qf kd
kj_12643,11,pc tt pf qh tt pd qc nd tt qd od
kj_55761,10,pd nc tt qc qd pc od rc tt ph
kj_96592,7,pd nc pf qh oc nd jd
kj_59050,14,pd qc pc qd qe re rf qf pe rg rd sf rc pf
kj_74614,9,pc qe tt od oc nd mb tt qi
kj_43199,7,pc tt pf nc tt lc tt
kj_35725,23,pc qe tt nd pe pd od qd oc oe pf qc nc md of ne mc ld lc kd kc rg jd
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_56142,6,pd nc oc nd pf kd
kj_25184,11,pd tt nc qf tt of rd md nd me lb
kj_56040,8,pc tt qe pf qf oc pd kc
kj_68867,7,pc qe qd pe nc pi tt
kj_67611,7,pc qe od qh tt lc le
kj_69655,23,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg mc nc nb md
kj_69820,6,pc qe od ph tt nc
kj_50582,17,pd nc tt qc pc qd pe pb ob qb nb mc kc qf mb tt og
kj_50585,16,pd nc tt qc pc qd pe pb ob qb nb mc kc qf mb tt
kj_66574,15,pd qc pc qd qf qe pe rf tt ld qg rg qh id gc
kj_57408,6,pc tt pf qh mc tt
kj_33811,10,pc qe od qh qj tt qd pe nf oh
kj_98368,10,pd qc pc qd qf rf qg rg qh tt
kj_55523,6,pc tt pf lc tt qh
kj_80099,6,pc tt pe tt lc tt
kj_69051,6,pc qe pg oe nd pj
kj_58099,10,pd qc pc qd pe rf tt qg pi oh
kj_81330,7,pd tt nc qf re rf qe
kj_68867,7,pc qe qd pe nc pi tt
kj_06832,6,pc tt qi tt pe pi
